"North Dakota Department of Health and Human Services",,,,,,,,,
"ND Medicaid Ambulance Services Fee Schedule",,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Modifier Required","General Rate","ORP Provider NPI Required","Service Authorization Required","General Notes"
"A0425","Ground mileage","Ambulance","Yes",,,"$10.37","No","No",
"A0426","Als 1","Ambulance","Yes",,,"$387.93","No","No",
"A0427","ALS1-emergency","Ambulance","Yes",,,"$614.23","No","No",
"A0428","bls","Ambulance","Yes",,,"$323.28","No","No",
"A0429","BLS-emergency","Ambulance","Yes",,,"$517.24","No","No",
"A0430","Fixed wing air transport","Ambulance","Yes",,,"$3,801.91","No","No",
"A0431","Rotary wing air transport","Ambulance","Yes",,,"$4,420.29","No","No",
"A0433","als 2","Ambulance","Yes",,,"$889.03","No","No",
"A0434","Specialty care transport","Ambulance","Yes",,,"$1,050.65","No","No",
"A0435","Fixed wing air mileage","Ambulance","Yes",,,"$11.68","No","No",
"A0436","Rotary wing air mileage","Ambulance","Yes",,,"$31.21","No","No",
"A0998","Ambulance response/treatment","Ambulance","Yes",,,"$323.28","No","No",
