"North Dakota Department of Health and Human Services",,,,,,,,
"ND Medicaid Non-Emergency Medical Transportation Services Fee Schedule",,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","General Rate","ORP Provider NPI Required","Service Authorization Required","General Notes"
"A0080","Noninterest escort in non er","NEMT","Yes",,"$0.70","No","No",
"A0100","Nonemergency transport taxi","NEMT","Yes",,"$26.53","No","No",
"A0110","Nonemergency transport bus","NEMT","Yes",,"$3,535.45","No","No",
"A0120","Noner transport mini-bus","NEMT","Yes",,"$17.70","No","No",
"A0130","Noner transport wheelch van","NEMT","Yes",,"$17.70","No","No",
"A0140","Nonemergency transport air","NEMT","Yes",,"$3,535.45","No","No",
"A0170","Transport parking fees/tolls","NEMT","Yes",,"$0.83","No","No",
"A0180","Noner transport lodgng recip","NEMT","Yes",,"$110.00","No","No",
"A0190","Noner transport meals recip fullday","NEMT","Yes",,"$31.82","No","No",
"A0191","Noner transport meals recip-breakfast","NEMT","Yes",,"$6.36","No","No",
"A0192","Noner transport meals recip-lunch","NEMT","Yes",,"$9.55","No","No",
"A0193","Noner transport meals recip-dinner","NEMT","Yes",,"$15.91","No","No",
"A0200","Noner transport lodgng escrt","NEMT","Yes",,"$169.00","No","No",
"A0210","Noner transport meals escort","NEMT","Yes",,"$8.67","No","No",
"S0209","WC van mileage per mi","NEMT","Yes",,"$2.52","No","No",
"S0215","Nonemerg transp mileage","NEMT","Yes",,"$0.70","No","No",
"T2005","N-et; stretcher van","NEMT","Yes",,"$95.46","No","No",
"T2049","N-ET; stretcher van, mileage","NEMT","Yes",,"$2.52","No","No",
